Model Name,f1 score,test_acc,roc,precision,recall
Logistic Regression,0.20304568527918782,0.8020176544766708,0.8317546149543167,0.8333333333333334,0.11560693641618497
PCA Logistic Regression,0.20304568527918782,0.8020176544766708,0.831829200074585,0.8333333333333334,0.11560693641618497
Random Forest,0.4942084942084941,0.8348045397225725,0.864665299272795,0.7441860465116279,0.3699421965317919
Gradient Boosted Tree,0.5397923875432526,0.832282471626734,0.8458418795450309,0.6724137931034483,0.4508670520231214
