Model Name,f1 score,test_acc,roc,precision,recall
Logistic Regression,0.39830508474576265,0.8209331651954602,0.8317546149543167,0.746031746031746,0.27167630057803466
PCA Logistic Regression,0.3983402489626556,0.8171500630517023,0.831829200074585,0.7058823529411765,0.2774566473988439
Random Forest,0.5523465703971119,0.6872635561160151,0.864665299272795,0.4015748031496063,0.884393063583815
Gradient Boosted Tree,0.5562130177514792,0.8108448928121059,0.8488346074958045,0.5696969696969697,0.5433526011560693
